Pet,Submitter,Species,Breed,Pet Description,Sex,Age,submission date,vaccinations
Pepe,Reggie Tupp,Rabbit,Cinnamon rabbit,Six-month-old Pepe is very active and is always keeping us on our toes.,M,0,11/28/2016 13:30,
Scooter,Zachary Heilyn,Hedgehog,White-bellied,You have to keep an eye on Scooter because he will climb walls to escape his habitat.,M,2,11/28/2016 14:45,
Zera,Austin Finnagan,Iguana,Cayman brac iguana,"This iguana is on the endangered species list, and is thriving well",F,3,11/29/2016 13:15,
Oddball,Howie Cadell,Guinea pig,American guinea pig,Oddball was the runt of his litter and has some breathing problems but is thriving well.,M,1,11/29/2016 10:00,
Chyna,Sandie Gobnet,Turtle,Terrapin,Chyna got her name because she’s a gentle 13-year-old turtle with a tough shell.,F,13,11/29/2016 14:30,
Rio,Philip Ransu,Dog,French bulldog,"Rio, the 5-year-old bulldog, loves to play ball with his best dog friend, Rudy.",M,5,11/28/2016 10:15,Canine Parvo| Canine Distemper| Canine Rabies| Canine Leptospira
Nadalee,Krystle Valerija,Dog,Chihuahua,"Nadalee is a 7-year-old long hair Chihuahua with a very pleasant, laid back, temperament.",F,7,11/28/2016 16:00,Canine Parvo| Canine Distemper| Canine Rabies| Canine Leptospira
Scout,Nicolette Bardeau,Dog,Jack Russell terrier,Scout suffers from separation anxiety from his former owner but finds comfort in his crate with his favorite toy.,M,5,11/28/2016 09:00,Canine Parvo| Canine Distemper| Canine Rabies| Canine Leptospira
Wesley,Nathan Cayden,Dog,Mixed breed,"At 8 years old there isn’t anything Wesley can’t do, he’s very healthy and full of energy!",M,8,11/29/2016 16:00,Canine Parvo| Canine Distemper| Canine Rabies| Canine Leptospira
Pax,Sarah Greer,Dog,Mixed breed,"Pax is a senior dog and is suffering from arthritic conditions, but doing well for his age.",M,8,11/29/2016 08:30,Canine Parvo| Canine Distemper| Canine Rabies| Canine Leptospira
Sami,Maggie Rickland,Dog,Dalmation,Sami is a very happy go lucky 1-year-old Dalmatian that loves to play.,M,1,12/1/2016 13:00,Canine Parvo| Canine Distemper| Canine Rabies| Canine Leptospira
Casper,Dalania Devitto,Dog,Bichon frise,"Four-year-old Casper was rescued from a breeder when he was 2, and his owner takes great care in giving him a good life.",M,3,12/1/2016 11:30,Canine Parvo| Canine Distemper| Canine Rabies| Canine Leptospira
Tibbs,Shad Cayden,Dog,Dachshund,Tibbs suffers from a spinal condition that can cause immobilization and his owner has to watch his activity levels.,M,10,12/1/2016 8:45,Canine Parvo| Canine Distemper| Canine Rabies| Canine Leptospira
Stich,Dennis Nicholback,Dog,English pointer,Four-year-old Stich was born with a birth defect that required surgery at 6 weeks of age.,M,4,12/2/2016 13:30,Canine Parvo| Canine Distemper| Canine Rabies| Canine Leptospira
Fluffy,Tracy Westbay,Cat,Domestic longhair,"Fluffy is a very fluffy 3-year-old cat, who loves watching cat videos and trying to recreate them.",F,3,11/29/2016 11:45,Feline Herpes Virus 1| Feline Rabies| Feline Leukemia
Squiggles,Madisyn Roope,Cat,Orange tabby cat,"Squiggles was a feral rescue that is now kept as an indoor/outdoor cat, but prefers to be outside.",F,5,11/30/2016 10:15,Feline Herpes Virus 1| Feline Rabies| Feline Leukemia
Lucky,Lisa Choy-Wu,Cat,Tortoiseshell cat,"One-year-old Lucky suffers from a rare heart condition, but has been able to live a relatively normal life.",M,1,11/30/2016 11:30,Feline Herpes Virus 1| Feline Rabies| Feline Leukemia
Bailey,Leslie Richardson,Cat,Persian,Bailey is a 3-year-old female Persian cat that was adopted by her owner as a baby.,F,3,11/30/2016 14:30,Feline Herpes Virus 1| Feline Rabies| Feline Leukemia
Kiko,Kathlyn Zlata,Cat,Tabby cat,Kiko is a very shy 8-year-old cat that was found as a baby under a refrigerator by her mommy.,F,8,11/30/2016 15:45,Feline Herpes Virus 1| Feline Rabies| Feline Leukemia
Shadow,Audry Topsy,Cat,Bombay,Shadow is a 5-year-old cat that gains weight very easily and has to be kept on a special diet.,F,5,12/2/2016 10:15,Feline Herpes Virus 1| Feline Rabies| Feline Leukemia
Felix,Francine Benet,Iguana,Green iguana,Felix is a sly little 6-year-old iguana that is always getting into trouble and keeps his mom on her toes.,M,6,11/30/2016 9:00,
Cosmo,Jennifer Dawson,Bird,Parrot,"Cosmo is possibly the happiest parrot that lived, and loves to sing Happy Birthday to anyone that will listen.",M,8,12/1/2016 10:00,
Chip,Jason Hemlock,Fish,Cichild,Chip is a vivacious 5-year-old African Cichlid with a bit of a temper towards other fish.,M,5,12/1/2016 15:15,
Nugget,Darla Branson,Hamster,Golden hamster,Nugget’s got his name because his owner’s daughter though he looked like a golden nugget when he was a baby.,M,6,12/2/2016 15:00,
